framework,route,run,externalJsRequests,externalJsTransferBytes,decodedExternalJsBytes,executableInlineJsBytes,totalJsSourceBytes,nonExecutableScriptBytes,totalPageTransferBytes
Astro,/,1,0,0,0,0,0,0,1656
Astro,/,2,0,0,0,0,0,0,1656
Astro,/,3,0,0,0,0,0,0,1656
Astro,/products,1,0,0,0,660,660,0,20365
Astro,/products,2,0,0,0,660,660,0,20365
Astro,/products,3,0,0,0,660,660,0,20365
Astro,/products/1,1,0,0,0,695,695,0,3071
Astro,/products/1,2,0,0,0,695,695,0,3071
Astro,/products/1,3,0,0,0,695,695,0,3071
SvelteKit,/,1,9,35173,81947,473,82420,0,39920
SvelteKit,/,2,9,35173,81947,473,82420,0,39920
SvelteKit,/,3,9,35173,81947,473,82420,0,39920
SvelteKit,/products,1,10,37357,86558,473,87031,0,59317
SvelteKit,/products,2,10,37357,86558,473,87031,0,59317
SvelteKit,/products,3,10,37357,86558,473,87031,0,59317
SvelteKit,/products/1,1,10,37398,86747,476,87223,0,43282
SvelteKit,/products/1,2,10,37398,86747,476,87223,0,43282
SvelteKit,/products/1,3,10,37398,86747,476,87223,0,43282
Qwik,/,1,11,38689,77906,811,78717,1611,44632
Qwik,/,2,11,38689,77906,810,78716,1611,44631
Qwik,/,3,11,38689,77906,811,78717,1611,44632
Qwik,/products,1,16,43769,84343,1117,85460,13728,71012
Qwik,/products,2,16,43769,84343,1118,85461,13728,71015
Qwik,/products,3,16,43769,84343,1116,85459,13728,71012
Qwik,/products/1,1,14,40903,79557,986,80543,2300,48044
Qwik,/products/1,2,14,40903,79557,985,80542,2300,48045
Qwik,/products/1,3,14,40903,79557,985,80542,2300,48046
