"Framework","Category","FileCount","Bytes","KiB"
"Astro","Complete client directory","34","135079","131.91"
"Astro","JavaScript","0","0","0"
"Astro","CSS","0","0","0"
"Astro","HTML","17","119119","116.33"
"SvelteKit","Complete client directory","34","115236","112.54"
"SvelteKit","JavaScript","12","90834","88.71"
"SvelteKit","CSS","4","6519","6.37"
"SvelteKit","HTML","0","0","0"
"Qwik","Complete client directory","56","152653","149.08"
"Qwik","JavaScript","35","96401","94.14"
"Qwik","CSS","1","5319","5.19"
"Qwik","HTML","0","0","0"
