"Framework","Route","Run","Performance","Accessibility","BestPractices","SEO"
"astro","/","1","100","100","100","90"
"astro","/","2","100","100","100","90"
"astro","/","3","100","100","100","90"
"astro","/products","1","100","93","100","91"
"astro","/products","2","100","93","100","91"
"astro","/products","3","100","93","100","91"
"astro","/products/1","1","100","85","100","91"
"astro","/products/1","2","100","85","100","91"
"astro","/products/1","3","100","85","100","91"
"qwik","/","1","100","91","100","82"
"qwik","/","2","100","91","100","82"
"qwik","/","3","100","91","100","82"
"qwik","/products","1","100","91","100","83"
"qwik","/products","2","100","91","100","83"
"qwik","/products","3","100","91","100","83"
"qwik","/products/1","1","100","86","100","83"
"qwik","/products/1","2","100","86","100","83"
"qwik","/products/1","3","100","86","100","83"
"sveltekit","/","1","100","100","100","91"
"sveltekit","/","2","100","100","100","91"
"sveltekit","/","3","100","100","100","91"
"sveltekit","/products","1","100","93","100","92"
"sveltekit","/products","2","100","93","100","92"
"sveltekit","/products","3","100","93","100","92"
"sveltekit","/products/1","1","100","90","100","92"
"sveltekit","/products/1","2","100","90","100","92"
"sveltekit","/products/1","3","100","90","100","92"
